,test_id,gene_id
32521,ENSG00000234869.1,ENSG00000234869.1
32522,ENSG00000234872.2,ENSG00000234872.2
32523,ENSG00000234877.2,ENSG00000234877.2
32524,ENSG00000234878.1,ENSG00000234878.1
32525,ENSG00000234880.1,ENSG00000234880.1
32526,ENSG00000234881.1,ENSG00000234881.1
32527,ENSG00000234882.1,ENSG00000234882.1
32528,ENSG00000234883.5,ENSG00000234883.5
32529,ENSG00000234884.1,ENSG00000234884.1
32530,ENSG00000234886.1,ENSG00000234886.1
32531,ENSG00000234888.1,ENSG00000234888.1
32532,ENSG00000234889.2,ENSG00000234889.2
32533,ENSG00000234890.1,ENSG00000234890.1
32534,ENSG00000234891.1,ENSG00000234891.1
32535,ENSG00000234892.1,ENSG00000234892.1
32536,ENSG00000234894.1,ENSG00000234894.1
32537,ENSG00000234895.1,ENSG00000234895.1
32538,ENSG00000234896.1,ENSG00000234896.1
32539,ENSG00000234898.1,ENSG00000234898.1
32540,ENSG00000234899.9,ENSG00000234899.9
32541,ENSG00000234900.1,ENSG00000234900.1
32542,ENSG00000234901.1,ENSG00000234901.1
32543,ENSG00000234902.6,ENSG00000234902.6
32544,ENSG00000234903.1,ENSG00000234903.1
32545,ENSG00000234906.9,ENSG00000234906.9
32546,ENSG00000234907.1,ENSG00000234907.1
32547,ENSG00000234910.2,ENSG00000234910.2
32548,ENSG00000234911.2,ENSG00000234911.2
32549,ENSG00000234912.12,ENSG00000234912.12
32550,ENSG00000234913.1,ENSG00000234913.1
32551,ENSG00000234915.1,ENSG00000234915.1
32552,ENSG00000234917.2,ENSG00000234917.2
32553,ENSG00000234918.1,ENSG00000234918.1
32554,ENSG00000234919.1,ENSG00000234919.1
32555,ENSG00000234921.1,ENSG00000234921.1
32556,ENSG00000234922.1,ENSG00000234922.1
32557,ENSG00000234925.2,ENSG00000234925.2
32558,ENSG00000234927.1,ENSG00000234927.1
32559,ENSG00000234928.1,ENSG00000234928.1
32560,ENSG00000234929.1,ENSG00000234929.1
32561,ENSG00000234931.1,ENSG00000234931.1
32562,ENSG00000234932.2,ENSG00000234932.2
32563,ENSG00000234933.1,ENSG00000234933.1
32564,ENSG00000234934.1,ENSG00000234934.1
32565,ENSG00000234936.1,ENSG00000234936.1
32566,ENSG00000234937.1,ENSG00000234937.1
32567,ENSG00000234938.2,ENSG00000234938.2
32568,ENSG00000234939.1,ENSG00000234939.1
32569,ENSG00000234940.1,ENSG00000234940.1
32570,ENSG00000234941.1,ENSG00000234941.1
32571,ENSG00000234942.2,ENSG00000234942.2
32572,ENSG00000234943.2,ENSG00000234943.2
32573,ENSG00000234944.1,ENSG00000234944.1
32574,ENSG00000234945.7,ENSG00000234945.7
32575,ENSG00000234946.1,ENSG00000234946.1
32576,ENSG00000234948.1,ENSG00000234948.1
32577,ENSG00000234949.2,ENSG00000234949.2
32578,ENSG00000234950.1,ENSG00000234950.1
32579,ENSG00000234952.1,ENSG00000234952.1
32580,ENSG00000234953.2,ENSG00000234953.2
32581,ENSG00000234956.6,ENSG00000234956.6
32582,ENSG00000234958.6,ENSG00000234958.6
32583,ENSG00000234958.6_PAR_Y,ENSG00000234958.6_PAR_Y
32584,ENSG00000234961.1,ENSG00000234961.1
32585,ENSG00000234962.5,ENSG00000234962.5
32586,ENSG00000234964.4,ENSG00000234964.4
32587,ENSG00000234965.2,ENSG00000234965.2
32588,ENSG00000234967.1,ENSG00000234967.1
32589,ENSG00000234969.1,ENSG00000234969.1
32590,ENSG00000234973.5,ENSG00000234973.5
32591,ENSG00000234975.6,ENSG00000234975.6
32592,ENSG00000234977.1,ENSG00000234977.1
32593,ENSG00000234979.1,ENSG00000234979.1
32594,ENSG00000234981.1,ENSG00000234981.1
32595,ENSG00000234982.1,ENSG00000234982.1
32596,ENSG00000234983.1,ENSG00000234983.1
32597,ENSG00000234984.1,ENSG00000234984.1
32598,ENSG00000234985.2,ENSG00000234985.2
32599,ENSG00000234986.1,ENSG00000234986.1
32600,ENSG00000234988.1,ENSG00000234988.1
32601,ENSG00000234993.1,ENSG00000234993.1
32602,ENSG00000234995.1,ENSG00000234995.1
32603,ENSG00000234996.4,ENSG00000234996.4
32604,ENSG00000234997.1,ENSG00000234997.1
32605,ENSG00000234998.1,ENSG00000234998.1
32606,ENSG00000234999.1,ENSG00000234999.1
32607,ENSG00000235001.3,ENSG00000235001.3
32608,ENSG00000235002.1,ENSG00000235002.1
32609,ENSG00000235004.1,ENSG00000235004.1
32610,ENSG00000235005.1,ENSG00000235005.1
32611,ENSG00000235007.2,ENSG00000235007.2
32612,ENSG00000235008.1,ENSG00000235008.1
32613,ENSG00000235009.1,ENSG00000235009.1
32614,ENSG00000235010.1,ENSG00000235010.1
32615,ENSG00000235011.2,ENSG00000235011.2
32616,ENSG00000235012.1,ENSG00000235012.1
32617,ENSG00000235013.1,ENSG00000235013.1
32618,ENSG00000235014.1,ENSG00000235014.1
32619,ENSG00000235015.1,ENSG00000235015.1
32620,ENSG00000235016.1,ENSG00000235016.1
32621,ENSG00000235018.1,ENSG00000235018.1
32622,ENSG00000235020.4,ENSG00000235020.4
32623,ENSG00000235021.1,ENSG00000235021.1
32624,ENSG00000235023.1,ENSG00000235023.1
32625,ENSG00000235024.1,ENSG00000235024.1
32626,ENSG00000235026.5,ENSG00000235026.5
32627,ENSG00000235027.1,ENSG00000235027.1
32628,ENSG00000235028.3,ENSG00000235028.3
32629,ENSG00000235029.1,ENSG00000235029.1
32630,ENSG00000235032.1,ENSG00000235032.1
32631,ENSG00000235033.7,ENSG00000235033.7
32632,ENSG00000235034.6,ENSG00000235034.6
32633,ENSG00000235035.1,ENSG00000235035.1
32634,ENSG00000235036.4,ENSG00000235036.4
32635,ENSG00000235038.1,ENSG00000235038.1
32636,ENSG00000235039.1,ENSG00000235039.1
32637,ENSG00000235040.1,ENSG00000235040.1
32638,ENSG00000235042.1,ENSG00000235042.1
32639,ENSG00000235043.3,ENSG00000235043.3
32640,ENSG00000235044.1,ENSG00000235044.1
32641,ENSG00000235045.2,ENSG00000235045.2
32642,ENSG00000235047.1,ENSG00000235047.1
32643,ENSG00000235049.1,ENSG00000235049.1
32644,ENSG00000235050.6,ENSG00000235050.6
32645,ENSG00000235051.3,ENSG00000235051.3
32646,ENSG00000235052.1,ENSG00000235052.1
32647,ENSG00000235054.3,ENSG00000235054.3
32648,ENSG00000235055.3,ENSG00000235055.3
32649,ENSG00000235056.1,ENSG00000235056.1
32650,ENSG00000235058.1,ENSG00000235058.1
32651,ENSG00000235059.5,ENSG00000235059.5
32652,ENSG00000235060.1,ENSG00000235060.1
32653,ENSG00000235061.3,ENSG00000235061.3
32654,ENSG00000235062.4,ENSG00000235062.4
32655,ENSG00000235064.1,ENSG00000235064.1
32656,ENSG00000235065.1,ENSG00000235065.1
32657,ENSG00000235066.7,ENSG00000235066.7
32658,ENSG00000235069.2,ENSG00000235069.2
32659,ENSG00000235070.3,ENSG00000235070.3
32660,ENSG00000235071.1,ENSG00000235071.1
32661,ENSG00000235072.2,ENSG00000235072.2
32662,ENSG00000235076.2,ENSG00000235076.2
32663,ENSG00000235077.1,ENSG00000235077.1
32664,ENSG00000235078.1,ENSG00000235078.1
32665,ENSG00000235079.1,ENSG00000235079.1
32666,ENSG00000235080.2,ENSG00000235080.2
32667,ENSG00000235081.1,ENSG00000235081.1
32668,ENSG00000235082.2,ENSG00000235082.2
32669,ENSG00000235083.1,ENSG00000235083.1
32670,ENSG00000235084.3,ENSG00000235084.3
32671,ENSG00000235085.3,ENSG00000235085.3
32672,ENSG00000235086.1,ENSG00000235086.1
32673,ENSG00000235088.1,ENSG00000235088.1
32674,ENSG00000235089.1,ENSG00000235089.1
32675,ENSG00000235090.1,ENSG00000235090.1
32676,ENSG00000235091.2,ENSG00000235091.2
32677,ENSG00000235092.5,ENSG00000235092.5
32678,ENSG00000235094.2,ENSG00000235094.2
32679,ENSG00000235095.1,ENSG00000235095.1
32680,ENSG00000235096.2,ENSG00000235096.2
32681,ENSG00000235097.1,ENSG00000235097.1
32682,ENSG00000235098.8,ENSG00000235098.8
32683,ENSG00000235099.1,ENSG00000235099.1
32684,ENSG00000235100.3,ENSG00000235100.3
32685,ENSG00000235101.1,ENSG00000235101.1
32686,ENSG00000235102.1,ENSG00000235102.1
32687,ENSG00000235105.1,ENSG00000235105.1
32688,ENSG00000235106.9,ENSG00000235106.9
32689,ENSG00000235108.1,ENSG00000235108.1
32690,ENSG00000235109.7,ENSG00000235109.7
32691,ENSG00000235110.5,ENSG00000235110.5
32692,ENSG00000235111.1,ENSG00000235111.1
32693,ENSG00000235112.1,ENSG00000235112.1
32694,ENSG00000235113.1,ENSG00000235113.1
32695,ENSG00000235115.3,ENSG00000235115.3
32696,ENSG00000235118.8,ENSG00000235118.8
32697,ENSG00000235119.1,ENSG00000235119.1
32698,ENSG00000235120.1,ENSG00000235120.1
32699,ENSG00000235121.1,ENSG00000235121.1
32700,ENSG00000235122.3,ENSG00000235122.3
32701,ENSG00000235123.5,ENSG00000235123.5
32702,ENSG00000235124.1,ENSG00000235124.1
32703,ENSG00000235126.1,ENSG00000235126.1
32704,ENSG00000235127.1,ENSG00000235127.1
32705,ENSG00000235128.1,ENSG00000235128.1
32706,ENSG00000235129.1,ENSG00000235129.1
32707,ENSG00000235131.1,ENSG00000235131.1
32708,ENSG00000235133.1,ENSG00000235133.1
32709,ENSG00000235136.1,ENSG00000235136.1
32710,ENSG00000235137.2,ENSG00000235137.2
32711,ENSG00000235138.1,ENSG00000235138.1
32712,ENSG00000235139.2,ENSG00000235139.2
32713,ENSG00000235140.2,ENSG00000235140.2
